vmag,ra,de,pmRa,pmDe,sRgbR,sRgbG,sRgbB
5.93,0.5924444,-0.5055556,0.146,-0.066,1.004415,0.9881883,1.109282
5.08,0.6023056,54.16861,0.022,0,0.7785514,0.9932398,1.726427
6.41,0.5985278,13.20667,-0.143,-0.189,1.043325,0.9843654,1.032307
5.79,0.6075833,60.32611,-0.001,-0.003,0.9352911,0.9931827,1.263889
5.51,0.59475,-48.00083,0.045,-0.104,1.004415,0.9881883,1.109282
6.06,0.5926111,-54.82194,0.027,-0.054,1.307917,0.9447668,0.6440313
6.5,0.6055556,27.25472,0.011,-0.016,0.7853289,0.9936404,1.702421
6.45,0.6008333,-14.97361,-0.083,-0.079,1.336976,0.9393615,0.611885
6.06,0.6019167,-22.8425,-0.072,-0.052,0.9352911,0.9931827,1.263889
5.13,0.6129444,44.48861,-0.023,0.033,1.659678,0.8710787,0.3369508
3.66,0.6161944,53.89694,0.019,-0.009,0.749593,0.9910358,1.833889
4.36,0.6146944,33.71944,0.015,-0.004,0.7686149,0.9925749,1.762392
5.89,0.6131389,15.23167,0.002,-0.015,0.765365,0.9923371,1.774358
6.47,0.6186667,24.01417,-0.014,-0.044,1.302141,0.9458218,0.6506131
5.48,0.6225278,35.39944,-0.016,-0.005,1.233874,0.9577577,0.733708
6.4,0.6631389,82.49389,-0.111,0.078,1.058264,0.9827269,1.004449
5.57,0.6224167,-24.76722,1.39,-0.012,1.146286,0.9713996,0.8569388
6.42,0.6103889,-65.12472,0.029,-0.02,1.455546,0.9159029,0.4946641
6.39,0.6251389,3.135278,0.095,-0.061,1.497141,0.9072102,0.4581465
6.41,0.6216944,-54.39417,0.056,-0.021,1.302141,0.9458218,0.6506131
4.37,0.6425833,29.31167,-0.227,-0.254,1.228278,0.9586892,0.7409844
5.43,0.65275,49.35444,0.008,-0.011,1.68409,0.8653929,0.3213205
3.27,0.6554722,30.86083,0.136,-0.091,1.467412,0.9134489,0.4839908
5.87,0.6560556,21.25056,-0.464,-0.37,1.217133,0.9605217,0.755704
5.36,0.6654444,21.43833,0.028,-0.035,1.395897,0.9279408,0.5512831
2.23,0.6751389,56.53722,0.053,-0.032,1.40184,0.9267572,0.5454844
6.85,0.6446667,-73.13722,-0.017,0.02,0.8594694,0.9954634,1.465249
6.69,0.6660833,-33.96167,0.333,-0.116,1.038387,0.9848868,1.041715
6.01,0.6644444,-44.79667,0.045,0,1.384036,0.9302863,0.5630207
6.49,0.6746111,-16.51694,0.037,-0.04,1.256405,0.9539321,0.7051516
6.14,0.6758056,-23.80444,0.644,-0.333,1.135646,0.9729076,0.8733891
5.91,0.6784444,-4.351944,-0.013,-0.013,1.360425,0.934887,0.587065
5.33,0.6853333,39.45861,-0.01,-0.007,1.239485,0.9568162,0.7264869
5.89,0.674,-59.45444,0.889,0.448,1.058264,0.9827269,1.004449
5.83,0.7009444,66.1475,-0.013,-0.009,1.325317,0.9415493,0.6245921
6.04,0.6933333,24.62917,0.107,-0.016,0.9220961,0.9938405,1.296338
4.8,0.7010833,50.5125,0.015,-0.005,0.7785514,0.9932398,1.726427
4.59,0.6887778,-46.085,-0.014,-0.002,1.28489,0.9489328,0.6706696
6.17,0.7086389,58.75333,0.036,-0.007,0.8136278,0.9948701,1.606589
5.7,0.6962222,-56.50167,0.085,0.044,0.8963644,0.9948192,1.36264
4.94,0.7244722,47.02472,-0.02,-0.034,0.8879863,0.9950467,1.385133
6.06,0.7119167,-38.46333,0.003,-0.005,0.8063781,0.9946213,1.630482
5.98,0.7116111,-60.2625,0.255,-0.045,1.491187,0.9084697,0.4632215
5.39,0.7078889,-65.46806,0.053,0.042,1.03347,0.9853959,1.051185
2.04,0.7265,-17.98667,0.234,0.033,1.313705,0.943703,0.6375007
5.67,0.7406667,47.86417,-0.026,0.015,0.7752084,0.9930265,1.738424
6.02,0.7306111,-12.01167,0.007,-0.204,1.360425,0.934887,0.587065
4.36,0.7225556,-57.46306,-0.006,0.011,0.8172955,0.9949792,1.594669
5.66,0.7608333,74.98806,-0.018,-0.026,0.836055,0.9953655,1.535403
4.54,0.7454167,48.28444,0.019,-0.008,0.792227,0.9940051,1.678416
4.76,0.7365,-10.60944,-0.009,-0.113,1.307917,0.9447668,0.6440313
5.9,0.7366944,-38.42167,0.244,0.113,1.395897,0.9279408,0.5512831
